"Phylum","Class","Order","Family","Genus","Taxa","Rank","Host","stat","p_value","p_value_corr"
"Verrucomicrobia",NA,NA,NA,NA,"Verrucomicrobia","Phylum","Siganus_luridus",4.4694,0.0345,0.092
"Bacteroidetes","Bacteroidia",NA,NA,NA,"Bacteroidia","Class","Siganus_rivulatus",10.1682,0.0062,0.008
"Deferribacteres","Deferribacteres",NA,NA,NA,"Deferribacteres","Class","Siganus_rivulatus",50.8032,0,0
"Epsilonbacteraeota","Campylobacteria",NA,NA,NA,"Campylobacteria","Class","Siganus_rivulatus",38.5545,0,0
"Firmicutes","Clostridia",NA,NA,NA,"Clostridia","Class","Siganus_rivulatus",31.8326,0,0
"Firmicutes","Erysipelotrichia",NA,NA,NA,"Erysipelotrichia","Class","Siganus_rivulatus",69.7927,0,0
"Fusobacteria","Fusobacteriia",NA,NA,NA,"Fusobacteriia","Class","Siganus_rivulatus",9.6367,0.0081,0.0101
"Proteobacteria","Alphaproteobacteria",NA,NA,NA,"Alphaproteobacteria","Class","Siganus_rivulatus",26.1943,0,0
"Proteobacteria","Deltaproteobacteria",NA,NA,NA,"Deltaproteobacteria","Class","Siganus_rivulatus",18.7978,1e-04,1e-04
"Spirochaetes","Brachyspirae",NA,NA,NA,"Brachyspirae","Class","Siganus_rivulatus",8.7496,0.0126,0.0153
"Tenericutes","Mollicutes",NA,NA,NA,"Mollicutes","Class","Siganus_rivulatus",19.929,0,1e-04
"Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,"Verrucomicrobiae","Class","Siganus_rivulatus",45.6659,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,"Marinifilaceae","Family","Siganus_rivulatus",4.2787,0.1177,0.1308
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,"Marinilabiliaceae","Family","Siganus_rivulatus",38.6716,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,"Rikenellaceae","Family","Siganus_rivulatus",3.3053,0.1915,0.2016
"Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,"Rs-E47_termite_group","Family","Siganus_rivulatus",13.5217,0.0012,0.0017
"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,"Tannerellaceae","Family","Siganus_rivulatus",32.1676,0,0
"Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,"Deferribacteraceae","Family","Siganus_rivulatus",54.9407,0,0
"Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,"Arcobacteraceae","Family","Siganus_rivulatus",39.6453,0,0
"Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,"Christensenellaceae","Family","Siganus_rivulatus",18.6054,1e-04,2e-04
"Firmicutes","Clostridia","Clostridiales","Family_XI",NA,"Family_XI","Family","Siganus_rivulatus",2.346,0.3094,0.3174
"Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,"Family_XIII","Family","Siganus_rivulatus",16.2242,3e-04,5e-04
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,"Lachnospiraceae","Family","Siganus_rivulatus",29.6379,0,0
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,"Ruminococcaceae","Family","Siganus_rivulatus",19.5142,1e-04,1e-04
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,"Erysipelotrichaceae","Family","Siganus_rivulatus",64.5254,0,0
"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,"Fusobacteriaceae","Family","Siganus_rivulatus",5.4307,0.0662,0.0746
"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,"Rhodobacteraceae","Family","Siganus_rivulatus",28.2655,0,0
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,"Desulfovibrionaceae","Family","Siganus_rivulatus",34.1061,0,0
"Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae",NA,"Brachyspiraceae","Family","Siganus_rivulatus",23.0437,0,0
"Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,"Anaeroplasmataceae","Family","Siganus_rivulatus",30.2812,0,0
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,"Akkermansiaceae","Family","Siganus_rivulatus",40.5671,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","Odoribacter","Genus","Siganus_rivulatus",4.0236,0.1337,0.1466
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Labilibacter","Labilibacter","Genus","Siganus_rivulatus",49.3152,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes","Genus","Siganus_rivulatus",37.4086,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group","dgA-11_gut_group","Genus","Siganus_rivulatus",22.8012,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","Rikenella","Genus","Siganus_rivulatus",1.9474,0.3777,0.3825
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","Rikenellaceae_RC9_gut_group","Genus","Siganus_rivulatus",23.1762,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides","Genus","Siganus_rivulatus",29.0395,0,0
"Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","Arcobacter","Genus","Siganus_rivulatus",43.5018,0,0
"Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","Christensenella","Genus","Siganus_rivulatus",11.2273,0.0036,0.0049
"Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter","Sedimentibacter","Genus","Siganus_rivulatus",2.7233,0.2562,0.2662
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Bacteroides","Bacteroides","Genus","Siganus_rivulatus",14.1102,9e-04,0.0013
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium","Epulopiscium","Genus","Siganus_rivulatus",55.3875,0,0
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena","Faecalicatena","Genus","Siganus_rivulatus",12.293,0.0021,0.003
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella","Tyzzerella","Genus","Siganus_rivulatus",8.2411,0.0162,0.0191
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium","Clostridium","Genus","Siganus_rivulatus",12.293,0.0021,0.003
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium","Genus","Siganus_rivulatus",13.3315,0.0013,0.0019
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","Flavonifractor","Genus","Siganus_rivulatus",15.0217,5e-04,9e-04
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta","Neglecta","Genus","Siganus_rivulatus",3.4207,0.1808,0.1929
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola","Paludicola","Genus","Siganus_rivulatus",19.673,1e-04,1e-04
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014","Genus","Siganus_rivulatus",53.8743,0,0
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium","Ruthenibacterium","Genus","Siganus_rivulatus",6.2842,0.0432,0.0494
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia","Breznakia","Genus","Siganus_rivulatus",36.0304,0,0
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","Coprobacillus","Genus","Siganus_rivulatus",14.1265,9e-04,0.0013
"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium","Genus","Siganus_rivulatus",3.4671,0.1767,0.191
"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter","Maritimibacter","Genus","Siganus_rivulatus",10.4838,0.0053,0.0069
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio","Genus","Siganus_rivulatus",23.4788,0,0
"Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira","Genus","Siganus_rivulatus",14.4868,7e-04,0.0011
"Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","Anaeroplasma","Genus","Siganus_rivulatus",12.2242,0.0022,0.0031
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia","Genus","Siganus_rivulatus",49.5902,0,0
"Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,"Bacteroidales","Order","Siganus_rivulatus",10.6598,0.0048,0.0065
"Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,"Deferribacterales","Order","Siganus_rivulatus",51.0692,0,0
"Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"Campylobacterales","Order","Siganus_rivulatus",39.1735,0,0
"Firmicutes","Clostridia","Clostridiales",NA,NA,"Clostridiales","Order","Siganus_rivulatus",30.9048,0,0
"Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"Erysipelotrichales","Order","Siganus_rivulatus",68.6303,0,0
"Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,"Fusobacteriales","Order","Siganus_rivulatus",9.1236,0.0104,0.0129
"Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,"Rhodobacterales","Order","Siganus_rivulatus",25.4508,0,0
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,"Desulfovibrionales","Order","Siganus_rivulatus",22.6841,0,0
"Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,"Brachyspirales","Order","Siganus_rivulatus",8.4075,0.0149,0.0178
"Tenericutes","Mollicutes","Anaeroplasmatales",NA,NA,"Anaeroplasmatales","Order","Siganus_rivulatus",27.5908,0,0
"Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"Mollicutes_RF39","Order","Siganus_rivulatus",19.251,1e-04,1e-04
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"Verrucomicrobiales","Order","Siganus_rivulatus",46.9998,0,0
"Bacteroidetes",NA,NA,NA,NA,"Bacteroidetes","Phylum","Siganus_rivulatus",9.9412,0.0069,0.0088
"Deferribacteres",NA,NA,NA,NA,"Deferribacteres","Phylum","Siganus_rivulatus",45.2554,0,0
"Epsilonbacteraeota",NA,NA,NA,NA,"Epsilonbacteraeota","Phylum","Siganus_rivulatus",30.226,0,0
"Firmicutes",NA,NA,NA,NA,"Firmicutes","Phylum","Siganus_rivulatus",69.1051,0,0
"Fusobacteria",NA,NA,NA,NA,"Fusobacteria","Phylum","Siganus_rivulatus",14.9684,6e-04,9e-04
"Proteobacteria",NA,NA,NA,NA,"Proteobacteria","Phylum","Siganus_rivulatus",1.3587,0.5069,0.5069
"Spirochaetes",NA,NA,NA,NA,"Spirochaetes","Phylum","Siganus_rivulatus",8.1055,0.0174,0.0201
"Tenericutes",NA,NA,NA,NA,"Tenericutes","Phylum","Siganus_rivulatus",28.3611,0,0
"Verrucomicrobia",NA,NA,NA,NA,"Verrucomicrobia","Phylum","Siganus_rivulatus",39.8612,0,0
